date,text
2016-03-21,中国国家交响乐团《交响世界》走进双周音乐会
2016-03-18,我校召开安全稳定工作会议
2016-03-18,我校召开通讯信息员培训工作会议
2016-03-16,学生工作部门新学期工作交流部署会召开
2016-03-16,校园美术展首展——绘画艺术系水彩专业教学课业展开展
2016-03-11,张志清做客我校研究生学术前沿讲座
2016-05-20,天津市高校2016年大学生校园心理剧大赛决赛在我校举行
2016-05-19,李喜飞教授团队在新能源电池领域研究取得突破性进展
2016-05-16,校党委中心组（扩大）集体学习《中国共产党章程》
2016-05-16,双周音乐会迎来音乐与影视学院外籍教师专场
2016-05-13,校党委副书记宁月茹带队慰问我校驻蓟县结对帮扶困难村工作组
2016-05-13,我校召开处级领导干部廉政谈话会议
2016-05-13,我校统一战线骨干培训班开班
2016-05-12,我校学生女排、男排在天津市大学生排球比赛中分获冠亚军
2016-05-11,余金成教授做客我校求是讲坛
2016-05-10,天津师范大学2016年校园文化精品育人项目评审会举行
2016-05-09,我校学生在第四届全国高等师范院校历史教育专业本科生教学技能大赛中获佳绩
2016-05-09,佟德志入选教育部“长江学者奖励计划”青年学者
2016-05-06,我校召开“两学一做”学习教育部署会
2016-05-06,王贺胜来校调研“部校共建新闻传播学院”工作
2016-05-06,中共天津师范大学纪律检查委员会第五次全体会议召开
2016-05-03,我校承办的英国赫尔大学孔子学院合唱团获第二届“唱响英伦”大赛银奖
2016-05-03,法学院举行“新友励学”奖学金捐赠仪式
2016-04-29,我校举行第四十四届田径运动会
2016-04-29,校领导会见我校“天津市工人先锋号”和“天津市五一劳动奖章”获奖集体和个人
2016-04-29,李臣之教授受聘我校博士生合作导师
2016-04-26,天津师范大学第十次学生代表大会隆重召开
2016-04-25,天津市地理学会第七次会员代表大会在我校召开
2016-04-25,孙宪忠教授受聘我校兼职教授
2016-04-25,副市长赵飞到我校调研安全工作
2016-04-22,校党委书记杨庆山讲“两学一做”专题党课
2016-04-22,我校举办“扇心古韵版墨遗珍”馆藏古籍扇面展暨古籍修复体验活动
2016-04-22,天津市高校辅导员“大学生思想政治教育工作创新与实践”培训班在我校举行
2016-04-21,学生公寓举行应急疏散演练
2016-04-21,加拿大联邦政府国家研究院首席科学家张久俊教授做客求是讲坛
2016-04-20,我校召开2016年关心下一代工作会议
2016-04-19,侯建新教授出席国务院学位委员会世界史学科评议组首次会议
